Name,Cite,z,ZCite,IDunWISE,RA,Dec,W1mag,W2mag,lumbol
2MASS J14541+1956,1736,0.243,1736,2240p196o0018367,223.54239927,19.94685556,12.460239055261118,11.228473723926468,5.3769582693974234E45
LB 9743,2062,0.254,DR16Q,2313p227o0011594,231.99033514,22.55115891,12.570442470221614,11.504672359458258,5.371117181758112E45
SDSS J130155.32+214354.5,DR16,0.2,LOZAGN,1953p212o0020811,195.48053387,21.73183021,11.986583030333811,10.99224737671486,5.369689643984001E45
LAMOSTJ071808.61+221559.7,LAMDR6,0.269,LAMDR6,1091p227o0006924,109.53591952,22.26663736,12.713415000038834,11.76020302242777,5.3656330271135413E45
2MASX J01111001-1016318,DR7Q,0.18,DR16Q,0184m107o0016628,17.791844,-10.27552312,11.733454988900387,10.84051219445148,5.364647999621636E45
SNU J06310+5030,0889,0.181,0889,0975p499o0029049,97.75215237,50.51284046,11.747642179798618,10.807420573797495,5.360340134164037E45
LAMOSTJ005608.58+200756.2,LAMDR7,0.23,LAMDR7,0144p196o0018817,14.03575759,20.13232694,12.330277983286503,11.411623577729888,5.3527121597799994E45
KUV 08315+3837,0996,0.288,DR16Q,1288p378o0021953,128.68249768,38.44246992,12.887084297679154,11.81287419995834,5.345516121882562E45
SBS 1534+568,DR7Q,0.207,DR16Q,2346p560o0032541,233.91351432,56.73513066,12.076401752552648,11.08824609071874,5.338113475656017E45
SDSS J152624.02+275452.1,DR16Q,0.231,DR16Q,2315p272o0027428,231.60014938,27.91447085,12.344109204786406,11.328725522113947,5.3369080163270245E45
6dF J222209.3-315624,6dF,0.231,0873,3352m319o0009296,335.53868285,-31.94008006,12.34731169092552,11.255810293872328,5.321189472273402E45
PGC 641140,PGC,0.15,6dF,0652m364o0021398,66.10547924,-36.07351997,11.307486431466264,10.016486585415894,5.318819040331674E45
SDSS J075619.07+122929.1,DR16Q,0.266,DR16Q,1189p121o0021965,119.07952732,12.49147563,12.695458789224578,11.757350439812356,5.317304072466902E45
SDSS J105458.86-023947.2,DR16Q,0.158,DR16Q,1633m031o0016092,163.7452718,-2.66311543,11.431528193166873,10.38877599566663,5.3161200276882896E45
PGC 1898197,PGC,0.141,0139,0104p302o0013415,10.66626108,30.29763889,11.163380261218824,10.245659656515226,5.307113764256972E45
B2 1028+31,0138,0.178,DR16,1570p318o0000423,157.74620758,31.04882568,11.718763232025822,10.762938789473536,5.304971973468147E45
SDSS J090151.13+103020.4,DR16Q,0.201,DR16Q,1353p106o0010681,135.46311035,10.50568755,12.01205039392024,10.999419716831492,5.3038876685485614E45
LBQS 2212-1634,1316,0.296,1316,3332m167o0015810,333.73268704,-16.32449458,12.96419784976689,12.022420977878456,5.302513361559645E45
2E 0132-4111,1492,0.27,1492,0237m409o0013041,23.73954767,-40.93940189,12.737021940403189,11.764330569551356,5.2948887525336486E45
IRASF 00520-0850,PGC,0.097,0873,0137m091o0019015,13.65623926,-8.56901006,10.293233395939607,9.040685933888392,5.289073445287411E45
HS 0058+4213,0754,0.19,0754,0161p424o0019291,15.37986235,42.49322544,11.882092977401673,10.919388378924063,5.27418187467285E45
2MASX J15532851+0951017,DR7Q,0.192,DR16Q,2389p090o0028471,238.36874146,9.8505674,11.907586752242551,10.91204487835933,5.273097902397668E45
SDSS J132144.97+033055.7,DR16Q,0.269,DR16Q,1996p030o0017637,200.43737328,3.51552631,12.73268163172761,11.718868982118895,5.271258494532708E45
2MASS J04368-1123,0305,0.208,0887,0695m122o0026222,69.2016123,-11.39889326,12.104093769761876,10.920579115392856,5.260077966468041E45
MS 15498+2022,0996,0.25,0846,2384p196o0024235,238.00999191,20.23377081,12.554891265225091,11.48224538691206,5.25571860780313E45
XBS J19328-7233,0310,0.287,0310,2919m727o0021648,293.20220742,-72.56480308,12.89694555993349,12.00170931436724,5.255075436285336E45
SDSS J092533.68+021342.5,DR16,0.228,LOZAGN,1406p015o0024290,141.39033545,2.22847686,12.329164217206865,11.38532813358996,5.2537743920672065E45
NVSS J16106-1856,1225,0.116,1225,2432m197o0034984,242.66968992,-18.93507197,10.716945872736122,9.698811958258686,5.249247563319516E45
SBS 1517+522,PGC,0.138,DR16Q,2288p514o0027375,229.78067368,52.10160107,11.125163384435847,9.962963877282366,5.246058315350764E45
SDSS J104027.82+031216.2,DR16Q,0.275,DR16Q,1603p030o0013976,160.11594734,3.20448923,12.794186813508672,11.8800054947997,5.238393790039513E45
PG 1307+085,1645,0.154,DR16Q,1976p090o0000441,197.44584586,8.33006378,11.386807020325918,10.361550450284158,5.237019047508387E45
RXS J01483-2758,1048,0.121,0740,0270m273o0000991,27.0930153,-27.97377093,10.819154901200246,9.871154023711682,5.232026263844037E45
